Duration,Count
9.383333206176758,22717
9.266666412353516,22707
9.416666984558105,22658
3.7333333492279053,22619
9.449999809265137,22588
3.6666667461395264,22577
9.399999618530273,22559
3.6500000953674316,22547
9.600000381469727,22510
9.5,22432
9.433333396911621,22360
9.699999809265137,22351
9.483333587646484,22326
9.616666793823242,22283
9.633333206176758,22249
3.616666555404663,22243
9.566666603088379,22234
9.533333778381348,22207
3.633333444595337,22172
9.466666221618652,22170
9.516666412353516,22134
9.550000190734863,22128
9.649999618530273,22127
9.666666984558105,22121
9.583333015441895,22103
3.5999999046325684,22000
9.800000190734863,21895
9.75,21893
9.766666412353516,21890
9.783333778381348,21875
9.816666603088379,21874
3.5833332538604736,21862
9.733333587646484,21838
9.716666221618652,21800
9.899999618530273,21779
9.833333015441895,21744
3.549999952316284,21707
9.883333206176758,21687
9.850000381469727,21683
9.866666793823242,21671
9.683333396911621,21666
3.566666603088379,21655
9.983333587646484,21623
10.016666412353516,21598
9.916666984558105,21542
3.5166666507720947,21527
9.933333396911621,21497
3.5333333015441895,21486
10.033333778381348,21469
9.966666221618652,21464
10.066666603088379,21405
10.050000190734863,21404
10.166666984558105,21395
10.100000381469727,21394
10.199999809265137,21385
10.216666221618652,21337
3.4833333492279053,21335
10.149999618530273,21270
10.083333015441895,21245
3.5,21231
10.116666793823242,21212
10.316666603088379,21211
3.450000047683716,21211
9.949999809265137,21205
10.183333396911621,21190
3.4666666984558105,21175
10.233333587646484,21168
10.133333206176758,21157
10.350000381469727,21024
10.383333206176758,21022
10.333333015441895,21019
10.25,21004
10.266666412353516,20953
3.4166667461395264,20948
3.433333396911621,20941
10.300000190734863,20940
10.416666984558105,20906
10.366666793823242,20899
10.283333778381348,20773
10.483333587646484,20770
10.449999809265137,20753
10.433333396911621,20728
3.383333444595337,20716
10.566666603088379,20705
10.516666412353516,20694
10.550000190734863,20628
10.399999618530273,20566
10.533333778381348,20562
10.466666221618652,20551
10.5,20496
3.3499999046325684,20481
10.633333206176758,20418
10.683333396911621,20416
3.316666603088379,20395
10.699999809265137,20369
10.583333015441895,20365
3.4000000953674316,20339
3.366666555404663,20337
3.3333332538604736,20331
10.733333587646484,20286
10.616666793823242,20264
10.649999618530273,20261
10.716666221618652,20206
10.899999618530273,20194
10.783333778381348,20194
10.600000381469727,20185
10.883333206176758,20171
10.816666603088379,20166
10.833333015441895,20136
10.800000190734863,20071
10.850000381469727,20018
11.050000190734863,19999
10.75,19923
10.949999809265137,19897
10.866666793823242,19878
10.666666984558105,19855
10.766666412353516,19839
10.916666984558105,19804
10.933333396911621,19781
3.299999952316284,19765
10.966666221618652,19743
11.066666603088379,19731
11.166666984558105,19717
11.016666412353516,19690
10.983333587646484,19671
3.2666666507720947,19630
3.2333333492279053,19606
11.033333778381348,19598
11.100000381469727,19589
11.133333206176758,19574
11.199999809265137,19558
3.2833333015441895,19552
11.233333587646484,19538
3.25,19499
11.300000190734863,19475
11.116666793823242,19447
11.083333015441895,19431
11.216666221618652,19383
11.149999618530273,19363
11.350000381469727,19350
11.183333396911621,19335
11.483333587646484,19259
11.333333015441895,19244
11.283333778381348,19212
11.266666412353516,19206
11.366666793823242,19173
3.200000047683716,19166
3.1666667461395264,19157
11.25,19133
11.449999809265137,19112
11.383333206176758,19111
11.399999618530273,19101
11.433333396911621,19083
3.2166666984558105,19078
11.316666603088379,19045
11.550000190734863,18949
3.183333396911621,18945
11.5,18945
11.416666984558105,18940
11.516666412353516,18919
11.600000381469727,18911
11.466666221618652,18855
3.1500000953674316,18836
11.533333778381348,18739
11.616666793823242,18711
31.0,18699
11.699999809265137,18688
11.633333206176758,18684
11.716666221618652,18649
11.566666603088379,18640
11.683333396911621,18611
11.75,18600
11.583333015441895,18596
11.666666984558105,18561
11.649999618530273,18557
11.733333587646484,18551
3.133333444595337,18535
11.783333778381348,18497
11.866666793823242,18482
11.833333015441895,18477
11.816666603088379,18440
11.850000381469727,18412
11.766666412353516,18410
3.0833332538604736,18367
11.883333206176758,18346
11.916666984558105,18335
3.116666555404663,18331
3.066666603088379,18297
11.966666221618652,18249
3.049999952316284,18208
3.0999999046325684,18171
11.800000190734863,18145
11.899999618530273,18142
12.016666412353516,18106
12.066666603088379,18102
11.949999809265137,18076
12.149999618530273,18022
11.933333396911621,18020
12.116666793823242,17986
12.033333778381348,17956
12.083333015441895,17907
12.166666984558105,17872
12.183333396911621,17869
11.983333587646484,17865
12.216666221618652,17842
12.100000381469727,17839
12.233333587646484,17837
