LONGITUDE,LATITUDE,TERMINAL
-77.026975,38.897857,31262
-77.049882,38.896104,31260
-77.070993,38.897315,31014
-77.072305,38.8946,31015
-77.076389,38.893438,31016
-77.0846,38.891696,31017
-77.079375,38.892164,31018
-76.952103,38.86559,31706
-77.046567,38.892459,31261
-77.0925,38.889,31019
-77.04368,38.920669,31113
-77.03980207,38.9059957,31239
-77.0325,38.9059,31241
-77.0889,38.8904,31020
-77.09308,38.8881,31021
-77.09525675,38.88701008,31022
-77.041539,38.89968,31242
-77.01770067,38.88637194,31243
-77.017445,38.88412,31244
-77.001828,38.881185,31625
-77.022155,38.912719,31245
-77.0251,38.9418,31404
-77.012289,38.915417,31506
-77.02379465,38.92812111,31115
-77.04062,38.917761,31116
-76.93723,38.889935,31707
-77.055599,38.930282,31307
-76.96012,38.896544,31708
-77.056887,38.905126,31246
-76.983569,38.88732,31626
-76.987823,38.844711,31806
-77.107735,38.876393,31035
-77.10098863,38.85033658,31033
-77.086502,38.896923,31029
-77.02622,38.9024,31263
-77.097745,38.885801,31023
-77.07857,38.893993,31027
-77.00572729,38.87885438,31628
-77.077271,38.922649,31306
-77.012457,38.928743,31507
-77.103148,38.882788,31024
-77.10783,38.88397,31025
-77.093485,38.884734,31026
-77.032427,38.8885525,31247
-77.028694,38.888774,31248
-77.1207,38.87887,31036
-77.01994,38.894573,31264
-77.086063,38.893237,31028
-77.089006,38.89593,31030
-77.08095,38.89054,31031
-77.090792,38.88081,31032
-77.111768,38.881044,31037
-77.109366,38.882629,31034
-77.037413,38.879819,31249
-76.985238,38.866611,31803
-77.116817,38.883921,31038
-77.107854,38.880012,31039
-77.10108,38.884616,31040
-76.9941,38.90509,31508
-77.044789,38.903584,31250
-77.0284,38.903819,31251
-77.046564,38.901539,31252
-77.04337,38.902204,31253
-77.040363,38.803124,31041
-77.043363,38.804718,31042
-77.04463273,38.81074148,31043
-77.049883,38.805317,31044
-77.03353,38.902,31254
-77.05293,38.805648,31045
-77.050276,38.811456,31046
-77.052808,38.814577,31047
-77.06062675,38.80576285,31048
-77.05152,38.9066,31255
-77.026064,38.895914,31256
-77.048911,38.90088,31257
-77.113905,38.883669,31049
-77.08777,38.884961,31050
-77.077294,38.889365,31051
-77.0494365,38.888255,31258
-77.045128,38.894722,31259
-77.018677,38.90093,31265
-77.077078,38.943837,31308
-77.082426,38.954812,31309
-77.00213045,38.90546971,31627
-77.080319,38.863833,31053
-77.11255029,38.84712905,31054
-77.069275,38.846222,31055
-77.041571,38.918809,31114
-77.01981425,38.95655555,31403
-77.027333,38.949662,31405
-77.03267813,38.94247536,31406
-77.032947,38.956432,31407
-77.075104,38.847977,31056
-77.085931,38.8444,31057
-77.09586,38.860789,31058
-77.095431,38.84736,31059
-77.089555,38.84232,31060
-77.084918,38.848454,31061
-77.029417,38.987,32006
-77.063586,38.90849,31312
-77.06714,38.896553,31062
-77.069956,38.955016,31310
-77.038359,38.908142,31267
-77.0352,38.92333,31117
-76.995193,38.889988,31629
-77.017669,38.912659,31509
-76.983326,38.889908,31630
-76.994749,38.897274,31631
-76.978924,38.927095,31510
-76.983575,38.897195,31632
-76.990955,38.928644,31511
-76.99937582,38.84322989,31800
-76.990037,38.863897,31807
-76.987211,38.903732,31512
-77.028139,38.916787,31268
-77.105022,38.852248,31063
-77.039511,38.865029,31064
-77.08596,38.880705,31065
-77.072315,38.867262,31066
-77.001955,38.887378,31269
-77.02324,38.894851,31270
-77.01597,38.917622,31118
-77.004746,38.918155,31513
-77.013917,38.892275,31271
-77.013769,38.886978,31272
-77.025762,38.887312,31633
-76.997194,38.927497,31514
-77.086599,38.862478,31067
-77.11153,38.856319,31068
-77.107906,38.871822,31069
-77.023082,38.985404,32001
-77.097426,38.981103,32002
-77.09221,38.983838,32003
-77.192672,39.096312,32004
-77.202501,39.093783,32005
-77.096539,38.988562,32000
-77.151291,39.084125,32007
-77.098029,38.98954,32008
-77.145213,39.094772,32009
-77.011336,38.98128,32010
-77.006311,38.983627,32011
-77.0291242,38.99525644,32012
-77.095367,38.983525,32013
-77.085998,38.961763,32014
-77.031887,38.921074,31119
-77.0024,38.87501,31634
-77.025672,38.920387,31120
-76.994468,38.876737,31635
-77.188014,39.099376,32016
-77.149162,39.083673,32017
-77.15741,39.123513,32018
-77.02935,38.990249,32019
-77.091991,38.982456,32021
-77.044563,39.0253872,32022
-77.159048,39.095661,32023
-77.023854,38.989724,32024
-77.01121,38.975,32025
-77.006472,38.977933,32026
-77.100104,38.992375,32027
-77.100239,38.990639,32028
-77.094589,38.977093,32029
-77.141378,39.076331,32032
-77.177091,39.102212,32033
-77.03037143,38.99403485,32034
-77.031555,38.999388,32035
-77.025608,38.997033,32036
-77.171487,39.114688,32037
-77.182669,39.110314,32038
-77.050046,38.923583,31121
-77.01536044,38.90733256,31636
-76.931862,38.898536,31710
-76.933099,38.908473,31711
-77.03023,38.878433,31273
-77.089233,38.873755,31070
-77.05428,38.862753,31071
-77.109647,38.999634,32039
-77.088659,38.96115,32040
-77.008911,38.899703,31637
-77.0934784,38.8378458,31072
-77.082104,38.873219,31073
-77.095596,38.869418,31074
-77.06197724,38.94113916,31313
-77.196442,39.103091,32041
-77.196636,39.097636,32042
-77.023894,38.997445,32043
-77.145803,39.085394,32044
-77.012108,38.900358,31638
-77.002721,38.952369,31515
-77.016855,38.975219,31408
-76.995876,38.920682,31516
-77.076131,38.866471,31075
-77.087083,38.839912,31076
-77.166093,39.119765,32045
-77.103381,38.964992,32046
-77.146866,39.084379,32047
-77.094537,38.984691,32048
-77.071301,38.88992,31077
-77.0675285,38.9037315,31314
-77.060866,38.804378,31081
-77.09169,38.894941,31079
-77.104503,38.869442,31078
-77.02623546,38.89824329,31274
-77.080851,38.897612,31080
-77.051084,38.901755,31275
-77.068952,38.801111,31082
-77.047494,38.82175,31083
-77.063562,38.802677,31084
-77.057619,38.820064,31085
-77.058541,38.82595,31086
-77.053096,38.820932,31087
-77.059821,38.833077,31088
-77.084801,38.890612,31089
-77.000035,38.986743,32049
-77.05003,38.865553,31090
-77.07513481,38.96454351,31315
-77.034918,38.903649,31276
-77.03973234,38.89828295,31277
-77.034499,38.997653,32050
-77.041834,38.912648,31278
-77.063275,38.859254,31091
-76.99707,38.907908,31517
-77.104562,38.896456,31092
-77.078317,38.898984,31093
-77.09713,38.895377,31094
-77.043182,38.898412,31279
-77.00356007,38.91475111,31522
-77.12712,38.876528,31902
-77.06812084,38.86215025,31095
-77.060173,38.902826,31293
-77.027025,38.913761,31280
-77.08787,38.86612,31096
-77.003666,38.89967,31639
-77.02277,38.90864,31281
-77.027855,38.961339,31411
-76.974828,38.894474,31712
-76.99278563,38.89622604,31640
-76.983683,38.915604,31518
-77.08059,38.946182,31316
-77.076986,38.994113,32051
-77.194774,39.105295,32052
-77.118009,38.898301,31900
-77.044097,38.812718,31097
-77.059817,38.80704,31098
-77.049468,38.813485,31099
-77.097882,38.999378,32053
-77.127671,38.884829,31901
-77.084636,38.958267,31317
-77.03625,38.928893,31122
-77.036278,38.912652,31282
-77.051168,38.999679,32054
-77.093522,38.979875,32055
-77.031737,38.903658,31283
-77.012365,38.908643,31519
-77.008133,38.831516,31811
-77.041544,38.893511,31284
-77.048728,38.909394,31285
-77.038721,38.995681,32056
-77.0447,38.799267,31903
-77.032375,38.925284,31123
-77.049265,38.822738,31910
-77.02714,38.90843,31286
-77.02601016,38.88432272,31287
-77.065115,38.947156,31318
-77.003135,38.894972,31641
-77.086031,38.828437,31908
-77.1564272,38.88532072,31904
-77.135271,38.880992,31905
-77.061715,38.812711,31906
-77.06282079,38.82005823,31913
-77.0172465,38.8904955,31288
-77.049383,38.890539,31289
-77.038325,38.888097,31290
-77.0487,38.798133,31907
-77.064016,38.843422,31909
-77.01600552,38.90240557,31642
-77.063093,38.841291,31912
-77.053766,38.797557,31914
-77.047783,38.818748,31915
-77.047844,38.829545,31916
-77.032224,38.928552,31124
-77.03445107,38.90113645,31291
-77.080217,38.949813,31319
-76.971923,38.91263,31520
-76.925907,38.897407,31713
-76.982359,38.870695,31812
-77.240654,38.929261,32200
-77.235955,38.92403,32201
-77.221179,38.919475,32203
-77.222115,38.920939,32204
-77.217664,38.924437,32205
-77.219261,38.931911,32206
-77.225394,38.928919,32207
-77.231825,38.932636,32208
-77.338686,38.970046,32209
-77.361902,38.962524,32210
-77.358815,38.962095,32211
-77.356324,38.960574,32212
-77.351649,38.955079,32213
-77.359718,38.957037,32214
-77.005965,38.884916,31643
-77.33939141,38.94660792,32215
-77.358741,38.959633,32216
-77.357611,38.95534,32217
-77.048947,38.892441,31292
-76.913563,38.891805,31714
-77.353414,38.960084,32218
-77.368416,38.955314,32219
-77.340377,38.951443,32220
-77.070862,38.89386,31917
-77.027976,38.967505,31414
-77.227417,38.923083,32221
-77.040691,38.812351,31918
-77.016311,38.990874,32058
-77.034449,38.9190185,31125
-76.990121,38.882489,31644
-77.002239,38.957463,31412
-77.112982,38.876695,31919
-77.220157,38.915246,32222
-76.99840486,38.90293157,31645
-77.107143,39.014716,32057
-76.988311,38.98265,32059
-76.988422,38.988101,32061
-77.05102041,39.03842383,32062
-77.047788,39.044887,32063
-77.048395,39.035965,32064
-77.053085,39.043272,32065
-77.04735,39.032029,32066
-77.340787,38.970412,32223
-77.36309409,38.9551706,32224
-77.016258,38.968834,31413
-76.979517,38.93293,31521
-77.021741,38.88345,31294
-77.164969,39.121327,32067
-77.065149,38.905368,31295
-77.040787,38.924088,31296
-77.111066,38.888282,31920
-77.142317,38.886048,31921
-77.103728,38.858524,31923
-77.16705948,39.12582811,32068
-77.16486,39.12333,32069
-77.35428035,38.96420774,32225
-77.20386,39.105642,32070
-77.054155,38.8995,31297
-77.034674,38.905424,31298
-77.027112,38.925636,31126
-77.04564,38.912644,31299
-77.082089,38.892556,31924
-77.087128,38.936298,31320
-77.033234,38.892244,31321
-77.050264,38.905303,31128
-77.192645,39.106971,32071
-77.202354,39.106152,32072
-76.98185,38.84627,31813
-76.97557,38.84377,31814
-76.97703,38.84623,31815
-77.0009,38.836,31816
-77.005497,38.824481,31817
-77.00223,38.82373,31818
-77.01033,38.81909,31819
-76.949709,38.883011,31715
-77.03338087,38.89646475,31129
-77.025236,38.88044,31646
-77.0078,38.915,31523
-77.05006,39.04313,32073
-77.02791,38.95674,31415
-76.99602,38.89222,31647
-76.9834,38.87335,31820
-77.120776,39.062041,32074
-77.11287,39.04753,32075
-77.10933,39.049,32076
-77.11368,39.049765,32077
-77.1135,39.04317,32078
-77.1257,39.04873,32079
-77.113454,39.0629,32080
-77.129235,39.06219,32081
-77.00077,39.00048,32082
-77.23034,38.92245,32227
-76.843263,38.908391,32400
-76.844604,38.899811,32401
-76.937349,38.969581,32402
-76.940133,38.95548,32403
-76.960054,38.936213,32404
-77.115212,39.050539,32083
-77.01081544,38.86968315,31648
-76.825535,38.88994,32405
-76.984512,38.855004,31822
-77.032956,38.931991,31649
-77.09578246,38.91703631,31322
-77.033509,38.969489,31416
-77.006072,38.876893,31650
-77.016059,38.782633,32406
-77.00103,38.798749,32407
-77.02824712,38.93132186,31651
-77.000736,38.876751,31652
-77.02154964,38.94796175,31417
-77.335425,38.944707,32228
-77.226644,38.92755,32229
-77.021392,38.902674,31653
-77.012443,38.876211,31654
-76.986813,38.907444,31524
-77.011616,38.897108,31655
-76.978627,38.901935,31656
-76.998273,38.892934,31657
-77.051833,38.923389,31323
-77.20812678,38.92400208,32230
-76.983221,38.906299,31525
-76.979634,38.897808,31658
-76.991476,38.885908,31659
-77.012808,38.951596,31418
-76.983144,38.835737,31823
-77.041829,38.911268,31324
-77.2283,38.8828,32231
-76.946361,38.959361,32408
-76.9753,38.840107,32409
-76.9595,38.9546,32410
-76.952199,38.975505,32411
-76.995227,38.974205,32412
-76.955047,38.939271,32413
-76.9807,38.9725,32414
-77.0026,38.7968,32415
-76.995922,38.961737,32416
-76.9493,38.9698,32417
-77.190275,38.895172,32600
-77.170032,38.882746,32601
-77.179832,38.88837,32602
-77.176992,38.887403,32603
-77.171891,38.880612,32604
-77.153953,38.878085,32606
-77.173438,38.883601,32605
-77.178408,38.87972,32607
-77.173605,38.885434,32608
-77.166917,38.885621,32609
-77.1887,38.9001,32232
-77.215624,38.928502,32233
-77.0235,38.932128,31419
-77.230681,38.879355,32234
-77.22997,38.870093,32235
-76.9859,38.9243,31526
-77.0221746,38.91420432,31130
-77.008798,38.912524,31527
-77.038684,38.942146,31420
-77.01822102,38.94202474,31421
-77.032687,38.934405,31131
-76.997226,38.938889,31528
-76.968084,38.955349,32418
-76.913188,38.888524,32419
-76.954803,38.965742,32420
-76.935578,38.962119,32421
-76.954171,38.968842,32422
-77.0510969,39.0473228,32084
-77.002098,38.924144,31529
-76.99514991,38.90273216,31660
-76.96784484,38.89595456,31716
-76.94728732,38.90046849,31717
-77.0167,38.7859,32423
-76.99358887,38.83664578,31824
-76.94098127,38.87622745,31718
-76.97768801,38.85736904,31825
-77.07432264,38.91261359,31325
-77.04885238,38.89892547,31127
-76.99489653,38.89994163,31661
-77.08564639,38.90970086,31326
-77.0041217,39.0313141,32085
-76.945495,39.081638,32086
-76.9757228,39.0461435,32087
-76.9418666,39.0778751,32088
-76.9811552,39.0449444,32090
-76.9854381,39.0456521,32091
-76.9918237,39.0391022,32089
-76.940547,39.085314,32092
-76.9945391,39.0379809,32094
-76.987125,39.04104,32093
-77.11456329,38.87947661,31926
-76.9695094,38.8974996,31719
-76.978519,38.8693365,31826
-77.355299,38.949008,32236
-77.005649,38.902386,31662
-77.100796,38.808161,31927
-77.108938,38.840797,31928
-77.049436,38.7930647,31929
-77.0824626,38.802738,31930
-76.985854,38.910993,31530
-76.9863852,38.8840581,31663
-77.010551,38.866277,31664
-77.03188,38.910674,31327
-77.02963114,38.91693645,31132
-76.97718725,38.88548253,31665
-77.06862643,38.96577499,31422
-77.04281688,38.81403111,31931
-77.040293,38.801947,31933
-77.04691261,38.89830174,31328
-77.017658,38.881123,31666
-77.013821,38.958098,31423
-77.045916,38.852903,31935
-77.056873,38.864838,31936
-77.074893,38.890863,31937
-77.059496,38.853002,31938
-77.07386,38.895068,31939
-77.08426237,38.88625607,31940
-77.013814,38.863743,31667
-77.00591,38.871841,31668
-77.045487,38.918036,31133
-77.002161,38.876823,31669
-76.925315,38.883318,31671
-77.106111,38.837306,31941
-77.135788,38.809709,31942
-77.110014,38.815842,31943
-76.97093,38.878771,31720
-77.051956,38.845028,31944
-77.118106,38.854019,31945
-77.110588,38.828887,31946
-77.07145214,38.89608691,31947
-77.0513,38.84817,31925
-77.1569,39.12004,32015
-77.1521,39.1077,32020
-77.2003,39.1021,32030
-77.0108,38.9644,32900
-77.0103,38.9638,32901
