LONGITUDE,LATITUDE,COUNT,TERMINAL
-77.06017299999999,38.902826,7363,31293
-76.983683,38.915603999999995,7356,31518
-77.050276,38.811456,7283,31046
-77.072315,38.867262,7255,31066
-77.05981700000001,38.80704,7181,31098
-77.08659899999999,38.862478,6999,31067
-77.09079200000001,38.88081,6973,31032
-76.96011999999999,38.896544,6857,31708
-77.021741,38.88345,6747,31294
-77.09536700000001,38.983525,6671,32013
-77.053096,38.820932,6535,31087
-77.05761899999999,38.820064,6460,31085
-77.07513481378554,38.964543509245885,6446,31315
-77.044097,38.812718,6299,31097
-77.02308199999999,38.985403999999996,6245,32001
-77.098029,38.989540000000005,6135,32008
-77.100104,38.992375,5908,32027
-77.060866,38.804378,5788,31081
-77.04885238395946,38.898925467168425,5788,31127
-77.01600551605225,38.90240556584194,5769,31642
-77.096539,38.988562,5758,32000
-77.059821,38.833077,5729,31088
-77.089233,38.873754999999996,5536,31070
-77.070862,38.89386,5535,31917
-77.023854,38.989724,5493,32024
-77.094589,38.977092999999996,5489,32029
-77.02935,38.990249,5478,32019
-77.082104,38.873219,5454,31073
-77.10450300000001,38.869442,5382,31078
-77.02560799999999,38.997033,5377,32036
-77.069275,38.846222,5362,31055
-77.02941700000001,38.986999999999995,5207,32006
-77.095596,38.869417999999996,5099,31074
-77.002721,38.952369,5087,31515
-77.065115,38.947156,5031,31318
-77.09199100000001,38.982456,5023,32021
-76.990121,38.882489,4972,31644
-77.047844,38.829545,4928,31916
-77.03037142753602,38.994034850608365,4884,32034
-77.0291242003441,38.995256441231696,4816,32012
-76.985238,38.866611,4776,31803
-77.08865899999999,38.96115,4767,32040
-77.085931,38.8444,4744,31057
-77.07510400000001,38.847977,4739,31056
-77.068952,38.801111,4461,31082
-77.166093,39.119765,4377,32045
-77.0333808660507,38.89646474748647,4351,31129
-77.09221,38.983838,4279,32003
-77.05428,38.862753000000005,4151,31071
-76.97892399999999,38.927095,4118,31510
-77.093522,38.979875,4111,32055
-77.11153,38.856319,3946,31068
-77.05415500000001,38.8995,3865,31297
-77.109647,38.999634,3813,32039
-77.10502199999999,38.852247999999996,3805,31063
-77.095431,38.847359999999995,3788,31059
-77.080217,38.949813,3559,31319
-76.971923,38.91263,3546,31520
-76.9784,38.865784000000005,3526,31804
-77.0487,38.798133,3507,31907
-77.04069100000001,38.812351,3442,31918
-77.027855,38.961339,3414,31411
-77.049468,38.813485,3403,31099
-77.100239,38.990639,3359,32028
-77.18266899999999,39.110314,3299,32038
-76.990037,38.863896999999994,3271,31807
-76.93723,38.889934999999994,3268,31707
-77.08059,38.946182,3259,31316
-77.084636,38.958267,3254,31317
-77.011336,38.98128,3205,32010
-77.00356006622314,38.914751108831155,3185,31522
