LONGITUDE,LATITUDE,COUNT,TERMINAL
-77.012108,38.900358000000004,39398,31638
-77.051514,38.848465999999995,39019,31009
-77.0682,38.916441999999996,38315,31226
-77.025762,38.887312,38308,31633
-76.9769,38.8896,37973,31601
-77.059936,38.862303000000004,36792,31005
-77.055599,38.930282,36480,31307
-77.11176800000001,38.881044,36243,31037
-77.027025,38.913761,34957,31280
-77.00366600000001,38.89967,34940,31639
-76.983326,38.889908,34893,31630
-76.983575,38.897195,34722,31632
-77.103148,38.882788,33206,31024
-76.9941,38.90509,32632,31508
-77.025672,38.920387,32025,31120
-77.0502,38.8426,31258,31010
-77.072755,38.934881,31017,31302
-77.052808,38.814577,31007,31047
-77.079382,38.947607,30250,31303
-77.043182,38.898412,30197,31279
-77.049417,38.861056,29947,31003
-77.043358,38.927872,29715,31112
-77.0251,38.9418,29435,31404
-77.0846,38.891696,28913,31017
-77.000648,38.919077,28788,31500
-77.003135,38.894971999999996,28623,31641
-77.043363,38.804718,28602,31042
-77.0633,38.8637,28096,31006
-77.09525674581528,38.88701007722296,27584,31022
-77.045128,38.894721999999994,27395,31259
,,26949,31008
-77.0222,38.9249,26736,31207
-77.076389,38.893438,26502,31016
-77.048728,38.909394,26476,31285
-77.036278,38.912652,25257,31282
-77.03023,38.878433,24209,31273
-77.084801,38.890612,24144,31089
-77.040363,38.803124,24120,31041
-77.03173699999999,38.903658,23229,31283
-77.02714,38.908429999999996,22918,31286
-76.99707,38.907908,22420,31517
-76.987211,38.903732,22227,31512
-77.107854,38.880012,22190,31039
-77.070334,38.922581,21862,31304
-77.060626745224,38.80576284873485,21367,31048
-77.087171,38.938736,21081,31301
-77.016855,38.975219,20805,31408
-77.032224,38.928552,20640,31124
-76.9927856326103,38.8962260397813,20085,31640
-77.08900600000001,38.89593,19962,31030
-77.09774499999999,38.885801,19922,31023
-76.992889,38.932514000000005,19031,31504
-77.05341160297394,38.854380515177496,18639,31013
-77.10936600000001,38.882629,18549,31034
-77.05332,38.85725,18443,31001
-77.012365,38.908643,18384,31519
-77.077271,38.922649,18151,31306
-77.049883,38.805316999999995,17979,31044
-77.069956,38.955016,17871,31310
-77.086502,38.896923,17682,31029
-77.034449,38.9190185,17460,31125
-77.0889,38.8904,17269,31020
-77.09308,38.8881,16771,31021
-77.033234,38.892244,16083,31321
-77.04463273286821,38.81074147938705,16067,31043
-77.0326781272888,38.94247535560285,16067,31406
-77.0925,38.889,15914,31019
-77.005965,38.884916,15910,31643
-77.05949,38.857865999999994,15671,31004
-77.05152,38.850688,15358,31012
-76.9955,38.9346,15336,31502
-77.08095,38.89054,15093,31031
-77.10783,38.88397,14698,31025
-77.012457,38.928743,14229,31507
-77.10773499999999,38.876393,14222,31035
-76.995876,38.920682,14213,31516
-76.99446800000001,38.876737,14183,31635
-77.04154399999999,38.893511,13947,31284
-77.077078,38.943837,13711,31308
-77.079375,38.892164,13006,31018
-77.077294,38.889365000000005,12991,31051
-77.03445106744765,38.901136451737045,12860,31291
-77.080851,38.897612,12472,31080
-77.004746,38.918155,12446,31513
-77.1207,38.87887,12267,31036
-77.065149,38.905368,12217,31295
-77.050537,38.844015,12155,31052
-77.032818,38.947774,12148,31402
-77.085998,38.961763,12132,32014
-77.10108000000001,38.884615999999994,11569,31040
-77.089555,38.84232,11511,31060
-77.097426,38.981103000000004,11411,32002
-77.06017299999999,38.902826,11353,31293
-77.093485,38.884734,11325,31026
-77.061977237463,38.94113915653008,11179,31313
-77.05293,38.805648,10975,31045
-77.07857,38.893993,10948,31027
-77.03625,38.928893,10739,31122
-77.086063,38.893237,10574,31028
-77.116817,38.883921,10458,31038
-77.107906,38.871821999999995,10300,31069
-77.113905,38.883669,10228,31049
-77.08596,38.880705,10185,31065
-76.994637,38.862669,9995,31801
-77.063562,38.802677,9794,31084
-77.032947,38.956432,9786,31407
-76.990955,38.928644,9728,31511
-76.974828,38.894474,9654,31712
-77.006472,38.977933,9530,32026
-77.058541,38.82595,9524,31086
-77.094537,38.984691,9376,32048
-77.05323,38.858971000000004,9346,31000
-77.103381,38.964991999999995,9322,32046
-77.034674,38.905424,9238,31298
-77.02601015567778,38.88432272414662,9023,31287
-77.08776999999999,38.884961,9001,31050
-76.991016,38.933668,8636,31501
-77.09169,38.894940999999996,8558,31079
-77.050264,38.905303,8548,31128
-77.047494,38.82175,8545,31083
-77.01981425285341,38.95655554772196,8494,31403
-77.10098862648009,38.850336577884455,8425,31033
-77.05981700000001,38.80704,8408,31098
-76.997194,38.927496999999995,8310,31514
-77.04564,38.912644,8309,31299
-76.988039,38.867373,8308,31802
-77.048947,38.892441,8229,31292
-76.9984048604965,38.90293157359119,8044,31645
-76.983683,38.915603999999995,7641,31518
-77.032375,38.925284000000005,7585,31123
-77.08031899999999,38.863833,7518,31053
-77.027333,38.949662,7422,31405
-77.082426,38.954812,7360,31309
-76.96011999999999,38.896544,7187,31708
-77.063275,38.859254,7164,31091
-77.021741,38.88345,7111,31294
-77.044097,38.812718,7094,31097
-77.053096,38.820932,7041,31087
-77.072315,38.867262,7011,31066
-77.08659899999999,38.862478,6942,31067
-77.070862,38.89386,6871,31917
-77.059821,38.833077,6826,31088
-77.050276,38.811456,6753,31046
-77.011336,38.98128,6674,32010
